TIME	LOS ANGELES	SCORE	OKLAHOMA CITY
3:10	Kobe Bryant makes free throw 2 of 2	81-90	 
2:55	 	81-90	Russell Westbrook misses 16-foot jumper
2:55	 	81-90	Oklahoma City offensive team rebound
2:55	Derek Fisher loose ball foul (Kendrick Perkins draws the foul)	81-90	 
2:55	 Official timeout
2:55	 	81-90	Kendrick Perkins misses free throw 1 of 2
2:55	 	81-90	Oklahoma City offensive team rebound
2:55	 	81-91	Kendrick Perkins makes free throw 2 of 2
2:31	Kobe Bryant misses 26-foot three point jumper	81-91	 
2:31	 	81-91	Russell Westbrook defensive rebound
2:15	 	81-91	Kevin Durant misses 25-foot three point jumper
2:14	 	81-91	Kendrick Perkins offensive rebound
2:10	 	81-94	James Harden makes 25-foot three point jumper (Kendrick Perkins assists)
1:54	James Harden blocks Kobe Bryant's 11-foot jumper	81-94	 
1:53	Los Angeles offensive team rebound	81-94	 
1:53	Metta World Peace technical foul (1st technical foul)	81-94	 
1:53	 	81-95	Kevin Durant makes technical free throw
1:45	Serge Ibaka blocks Kobe Bryant's 7-foot two point shot	81-95	 
1:43	Derek Fisher offensive rebound	81-95	 
1:42	Derek Fisher makes 24-foot three point jumper	84-95	 
1:24	 	84-97	Kevin Durant makes 4-foot two point shot
1:24	Metta World Peace shooting foul (Kevin Durant draws the foul)	84-97	 
1:24	 	84-98	Kevin Durant makes free throw 1 of 1
1:15	Derek Fisher misses 24-foot three point jumper	84-98	 
1:14	 	84-98	Kendrick Perkins defensive rebound
0:55	 	84-98	Russell Westbrook misses 25-foot three point jumper
0:55	Metta World Peace defensive rebound	84-98	 
0:46	Kobe Bryant traveling	84-98	 
0:46	Andrew Goudelock enters the game for Kobe Bryant	84-98	 
0:46	Darius Morris enters the game for Derek Fisher	84-98	 
0:46	 	84-98	Ryan Reid enters the game for Kevin Durant
0:46	 	84-98	Cole Aldrich enters the game for Serge Ibaka
0:46	 	84-98	Royal Ivey enters the game for Kendrick Perkins
0:46	 	84-98	Reggie Jackson enters the game for Russell Westbrook
0:46	Jason Kapono enters the game for Metta World Peace	84-98	 
0:46	Troy Murphy enters the game for Pau Gasol	84-98	 
0:46	Josh McRoberts enters the game for Andrew Bynum	84-98	 
0:30	Jason Kapono shooting foul (Reggie Jackson draws the foul)	84-98	 
0:30	 	84-99	Reggie Jackson makes free throw 1 of 2
0:30	 	84-100	Reggie Jackson makes free throw 2 of 2
0:30	 	84-100	Ryan Reid technical foul (1st technical foul)
0:30	Jason Kapono makes technical free throw	85-100	 
0:21	Darius Morris offensive charge (Ryan Reid draws the foul)	85-100	 
0:21	Darius Morris turnover	85-100	 
0:00	End of the 4th Quarter
0:00	End Game
